References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC
BAT1,1,BS-7 BatteryHolder Keystone 3008 1x2450,Keystone,3008,,,,,36-3008-ND,5343008,,,1650694,
"R8, R7",2,resistor 470k 0805,TE Connectivity,CRG0805F470K,Panasonic,ERA6AEB474V,,,A126370CT-ND,667ERA6AEB474V,566771,,3226877,
"Q2, Q1",2,MMBT3904 SOT-23,Diotec,MMBT3904,ON Semiconductor,MMBT3904,Diodes Inc.,MMBT3904-7-F,MMBT3904-FDIDKR-ND,621MMBT3904F,,,9846727,
Cpara1,1,5pF 0805,AVX,08051A5R0CAT2A,,,,,478-6039-6-ND,58108051A5R0CAT2A,,,2332708,
C1,1,1nF  0805,AVX,08051A102JAT2A,Johanson,500R15N102JV4T,KEMET,C0805C102J1GAC,709-1180-6-ND,58108051A102J,1444513,,1740662,
"C2, C3, C4",3,10uF 0805,Murata,GRM21BR61C106KE15L,,,,,490-3886-1-ND,81GRM21BR61C106KE15,,,1762635RL,
D1,1,LL4148 D MiniMELF,Diotec,LL4148,ON Semiconductor,LL4148,,,LL4148FSDKR-ND,512LL4148,6708826,,2356382,
J1,1,Conn 01x02 Female JST PH S2B-PH-K 1x02 P2.00mm Horizontal,,PH S2B-PH-K,JST,S2B-PH-K-S (LF)(SN),JST,S2B-PH-K-S(LF)(SN),455-1719-ND,,8201494P,,9491902,
L1,1,HT7333-A SOT-89-3 Handsoldering,Holtek,HT7333-A,,,,,,,,,,C21583
MOD1,1,ESP32-WROOM-32,Espressif Systems,ESP32-WROOM-32,,,,,,,,,,
"R1, R2, R4",3,resistor 10k 0805,Vishay,CRCW080510K0FKEA,Panasonic,ERJ-6ENF1002V,Yageo,RC0805FR-0710KL,311-10.0KCRCT-ND,667ERJ6ENF1002V,6790816,,2148862,
"R3, R5, R9",3,resistor 1k 0805,Vishay,CRCW08051K00FKEA,Panasonic,ERJ-6ENF1001V,Yageo,RC0805FR-071KL,311-1.00KCRDKR-ND,667ERJ6ENF1001V,6790982,,2303550,
R6,1,resistor 1M 0805,TE Connectivity,CPF-A-0805B1M0E1,Bourns,CR0805-FX-1004ELF,,,CR0805-FX-1004ELFCT-ND,652CR0805FX1004ELF,8667336P,,1795166,
C6,1,100p C 0805 2012Metric,AVX,08051A101JAT2A,KEMET,C0805C101F5GACTU,,,399-7976-1-ND,80C0805C101F5G,1356631,,499171,
C5,1,0.1uF 0805,Yageo,CC0805KRX7R9BB104,Murata,GRM21BR71H104KA01L,,,311-1140-6-ND,603CC805KRX7R9BB104,6698842,,3019949,
U1,1,XB3303A,,XB3303A,,,,,,,,,,C154937
